Category,Description,price_per_100g
CREAM SUB,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",2.78
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",1.28
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",2.38
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",0.73
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",3.94
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",0.87
SOUR CRM,"SOUR CRM,IMITN,CULTURED",1.49
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",3.01
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",4.55
MILK,"MILK,WHL,3.25% MILKFAT",3.81
MILK,"MILK,PRODUCER,FLUID,3.7% MILKFAT",3.53
MILK,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",4.85
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",2.45
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",2.22
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",4.23
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",3.55
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",2.77
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",4.14
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",3.23
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",1.51
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",0.9
MILK,"MILK,LOW SODIUM,FLUID",0.89
MILK,"MILK,DRY,WHOLE",3.13
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",1.28
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",1.53
MILK,"MILK,DRY,NONFAT,CA RED",4.88
MILK,"MILK,BUTTERMILK,DRIED",3.48
MILK,"MILK,CND,COND,SWTND",2.89
MILK,"MILK,CND,EVAP,WO/ VIT A",2.86
MILK,"MILK,CND,EVAP,NONFAT",1.88
MILK,"MILK,CHOC,FLUID,COMM,",3.51
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",4.16
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",3.92
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",2.66
MILK,"MILK,GOAT,FLUID",2.16
MILK,"MILK,HUMAN,MATURE,FLUID",4.34
MILK,"MILK,INDIAN BUFFALO,FLUID",1.74
MILK,"MILK,SHEEP,FLUID",3.76
MILK SHAKES,"MILK SHAKES,THICK CHOC",3.82
MILK SHAKES,"MILK SHAKES,THICK VANILLA",0.52
WHEY,"WHEY,ACID,FLUID",4.45
WHEY,"WHEY,ACID,DRIED",1.33
WHEY,"WHEY,SWEET,FLUID",1.61
WHEY,"WHEY,SWEET,DRIED",1.96
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",3.45
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",0.57
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",3.56
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",3.3
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",2.13
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",4.7
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",3.28
EGG,"EGG,WHOLE,RAW,FRESH",0.66
EGG,"EGG,WHITE,RAW,FRESH",4.86
EGG,"EGG,YOLK,RAW,FRSH",4.16
EGG,"EGG,YOLK,RAW,FROZEN",1.27
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",0.8
EGG,"EGG,WHL,CKD,FRIED",4.07
EGG,"EGG,WHL,CKD,HARD-BOILED",1.72
EGG,"EGG,WHOLE,COOKED,OMELET",4.11
EGG,"EGG,WHL,CKD,POACHED",2.38
EGG,"EGG,WHL,CKD,SCRMBLD",1.65
EGG,"EGG,WHOLE,DRIED",0.64
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.77
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.39
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",1.5
EGG,"EGG,YOLK,DRIED",4.84
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",3.64
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",2.84
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",4.55
EGG,"EGG,TURKEY,WHL,FRSH,RAW",2.71
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",4.8
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",3.36
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",3.78
BUTTER,"BUTTER,WITHOUT SALT",2.32
CHEESE,"CHEESE,PARMESAN,SHREDDED",5.0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",3.16
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",2.07
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",1.59
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",1.04
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",3.22
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",1.08
MILK,"MILK,CND,EVAP,W/ VIT A",2.52
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",0.88
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",1.86
CHEESE,"CHEESE,GOAT,HARD TYPE",2.35
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",4.13
CHEESE,"CHEESE,GOAT,SOFT TYPE",3.43
EGG,"EGG,YOLK,RAW,FRZ,SALTED",0.85
CHEESE SUB,"CHEESE SUB,MOZZARELLA",1.02
No Category,CHEESE FONDUE,4.94
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",4.24
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",4.98
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",4.07
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",0.72
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",3.18
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",3.23
EGG,"EGG,WHOLE,RAW,FROZEN",4.91
EGG,"EGG,WHITE,RAW,FROZEN",1.32
EGG,"EGG,WHITE,DRIED",3.49
SOUR CREAM,"SOUR CREAM,REDUCED FAT",4.56
SOUR CREAM,"SOUR CREAM,LIGHT",3.31
SOUR CREAM,"SOUR CREAM,FAT FREE",1.92
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",0.86
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",3.2
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",3.31
CHEESE,"CHEESE,CREAM,FAT FREE",3.22
YOGURT,"YOGURT,CHOC,NONFAT MILK",2.5
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,4.91
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,0.95
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,2.36
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,0.68
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,3.0
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,1.95
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,4.3
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),4.17
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),3.98
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),4.73
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),1.85
CREAM,"CREAM,HALF & HALF,FAT FREE",4.79
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,0.91
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",2.31
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",3.65
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",2.72
CREAM SUB,"CREAM SUB,FLAV,LIQ",2.57
CREAM SUB,"CREAM SUB,FLAV,POWDERED",1.9
CHEESE,"CHEESE,PROVOLONE,RED FAT",4.56
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",3.9
EGG MIX,"EGG MIX,USDA CMDTY",4.66
ALLSPICE,"ALLSPICE,GROUND",4.54
No Category,ANISE SEED,3.73
SPICES,"SPICES,BASIL,DRIED",9.52
SPICES,"SPICES,BAY LEAF",2.51
No Category,CARAWAY SEED,0.35
SPICES,"SPICES,CARDAMOM",5.19
No Category,CELERY SEED,0.56
CHERVIL,"CHERVIL,DRIED",2.17
No Category,CHILI POWDER,1.5
CINNAMON,"CINNAMON,GROUND",2.88
CLOVES,"CLOVES,GROUND",1.12
CORIANDER LEAF,"CORIANDER LEAF,DRIED",4.66
No Category,CORIANDER SEED,1.56
No Category,CUMIN SEED,0.86
No Category,CURRY POWDER,0.85
No Category,DILL SEED,1.08
DILL WEED,"DILL WEED,DRIED",3.26
No Category,FENNEL SEED,1.46
No Category,FENUGREEK SEED,0.72
No Category,GARLIC POWDER,2.53
GINGER,"GINGER,GROUND",3.46
MACE,"MACE,GROUND",4.37
MARJORAM,"MARJORAM,DRIED",0.62
MUSTARD SEED,"MUSTARD SEED,YELLOW",1.44
NUTMEG,"NUTMEG,GROUND",3.14
No Category,ONION POWDER,0.77
SPICES,"SPICES,OREGANO,DRIED",3.96
No Category,PAPRIKA,0.89
PARSLEY,"PARSLEY,DRIED",1.3
PEPPER,"PEPPER,BLACK",3.94
PEPPER,"PEPPER,RED OR CAYENNE",4.14
PEPPER,"PEPPER,WHITE",2.56
No Category,POPPY SEED,0.72
No Category,POULTRY SEASONING,2.95
No Category,PUMPKIN PIE SPICE,2.16
ROSEMARY,"ROSEMARY,DRIED",0.89
No Category,SAFFRON,4.48
SAGE,"SAGE,GROUND",2.8
SAVORY,"SAVORY,GROUND",0.78
SPICES,"SPICES,TARRAGON,DRIED",2.72
SPICES,"SPICES,THYME,DRIED",7.89
TURMERIC,"TURMERIC,GROUND",3.45
BASIL,"BASIL,FRESH",4.59
DILL WEED,"DILL WEED,FRSH",3.83
MUSTARD,"MUSTARD,PREPARED,YELLOW",1.6
SALT,"SALT,TABLE",4.65
VINEGAR,"VINEGAR,CIDER",2.19
THYME,"THYME,FRSH",3.46
No Category,VANILLA EXTRACT,7.0
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,ALCOHOL",1.75
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",3.35
VINEGAR,"VINEGAR,DISTILLED",0.6
CAPERS,"CAPERS,CANNED",3.35
HORSERADISH,"HORSERADISH,PREPARED",0.72
ROSEMARY,"ROSEMARY,FRESH",1.57
PEPPERMINT,"PEPPERMINT,FRESH",2.3
SPEARMINT,"SPEARMINT,FRESH",2.5
SPEARMINT,"SPEARMINT,DRIED",1.09
VINEGAR,"VINEGAR,RED WINE",2.22
VINEGAR,"VINEGAR,BALSAMIC",2.48
CAMPBELL SOUP CO,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",0.69
BABYFOOD,"BABYFOOD,MEAT,BF,STR",4.71
BABYFOOD,"BABYFOOD,MEAT,BF,STR",3.43
BABYFOOD,"BABYFOOD,MEAT,VEAL,STR",4.35
BABYFOOD,"BABYFOOD,MEAT,PORK,STR",4.82
BABYFOOD,"BABYFOOD,MEAT,HAM,STR",3.9
BABYFOOD,"BABYFOOD,MEAT,HAM,JUNIOR",2.27
BABYFOOD,"BABYFOOD,MEAT,LAMB,STR",6.75
BABYFOOD,"BABYFOOD,MEAT,LAMB,JUNIOR",4.59
BABYFOOD,"BABYFOOD,MEAT,CHICK,STR",4.29
BABYFOOD,"BABYFOOD,MEAT,CHICK,JR",2.45
BABYFOOD,"BABYFOOD,MEAT,CHICK STKS,JR",3.52
BABYFOOD,"BABYFOOD,MEAT,TURKEY,STR",4.8
BABYFOOD,"BABYFOOD,MEAT,TURKEY,JR",4.37
BABYFOOD,"BABYFOOD,MEAT,TURKEY STKS,JR",7.22
BABYFOOD,"BABYFOOD,MEAT,MEAT STKS,JR",5.87
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",1.75
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",1.09
BABYFOOD,"BABYFOOD,DINNER,BF LASAGNA,TODD",3.7
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",2.2
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",0.95
BABYFOOD,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",2.22
BABYFOOD,"BABYFOOD,DINNER,BF NOODLE,STR",2.48
BABYFOOD,"BABYFOOD,MACARONI&CHS,TODD",1.45
BABYFOOD,"BABYFOOD,DINNER,BF&RICE,TODD",2.48
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",7.69
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",2.21
BABYFOOD,"BABYFOOD,DINNER,BF STEW,TODD",2.08
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,STR",3.56
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,JR",2.75
BABYFOOD,"BABYFOOD,DINNER,BF W/VEG",4.16
BABYFOOD,"BABYFOOD,DINNER,VEG&BACON,STR",3.92
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,STR",4.41
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,JR",0.68
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,STR",3.03
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,JR",4.01
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,STR",4.25
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,JR",0.96
BABYFOOD,"BABYFOOD,DINNER,CHICK SOUP,STR",4.76
BABYFOOD,"BABYFOOD,DINNER,CHICK STEW,TODD",1.81
BABYFOOD,"BABYFOOD,DINNER,VEG CHICK,STR",2.35
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",3.41
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",2.01
BABYFOOD,"BABYFOOD,DINNER,PASTA W/VEG",3.27
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",3.95
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",2.71
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,STR",0.77
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,JR",0.88
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,STR",4.65
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,JR",1.38
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,TODD",0.51
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,STR",0.83
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,JR",2.96
BABYFOOD,"BABYFOOD,VEG,GRN BNS,STR",0.79
BABYFOOD,"BABYFOOD,VEG,GRN BNS,JR",4.78
BABYFOOD,"BABYFOOD,GRN BNS,DICES,TODD",4.61
BABYFOOD,"BABYFOOD,VEG,GRN BNS&POTATOES",2.01
BABYFOOD,"BABYFOOD,VEG,BEETS,STR",1.41
BABYFOOD,"BABYFOOD,VEG,CARROTS,STR",1.12
BABYFOOD,"BABYFOOD,VEG,CARROTS,JR",0.89
Babyfood,"Babyfood, vegetables, squash, strained",1.7
BABYFOOD,"BABYFOOD,VEG,SQUASH,JR",4.11
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,STR",1.9
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,JR",0.42
BABYFOOD,"BABYFOOD,POTATOES,TODDLER",0.57
BABYFOOD,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",3.17
BABYFOOD,"BABYFOOD,APPLS,DICES,TODD",0.59
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,STR",3.01
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,JR",2.29
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",0.79
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,STR",3.97
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,JR",4.62
BABYFOOD,"BABYFOOD,VEG,PEAS,STR",4.06
BABYFOOD,"BABYFOOD,PEAS,DICES,TODD",3.41
BABYFOOD,"BABYFOOD,VEG,SPINACH,CRMD,STR",4.6
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",1.5
BABYFOOD,"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",2.95
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,STR",4.74
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,JR",2.72
BABYFOOD,"BABYFOOD,FRUIT,PEARS,STR",2.37
BABYFOOD,"BABYFOOD,FRUIT,PEARS,JR",1.38
BABYFOOD,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",3.96
BABYFOOD,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",4.54
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",4.69
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",2.54
BABYFOOD,"BABYFOOD,PRUNES,WO/VIT C,STR",0.67
BABYFOOD,"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",1.98
BABYFOOD,"BABYFOOD,PEARS,DICES,TODD",3.89
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",4.24
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",4.23
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",4.36
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",1.56
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",1.31
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",0.51
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",4.65
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",3.2
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",4.51
BABYFOOD,"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO",1.33
BABYFOOD,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",2.66
BABYFOOD,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",1.95
BABYFOOD,"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",1.35
BABYFOOD,"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",1.04
BABYFOOD,"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",1.19
BABYFOOD,"BABYFOOD,PEACHES,DICES,TODD",3.83
BABYFOOD,"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",2.62
BABYFOOD,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",4.13
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",3.76
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",0.81
BABYFOOD,"BABYFOOD,JUICE,APPLE",1.67
BABYFOOD,"BABYFOOD,APPLE-BANANA JUC",0.82
BABYFOOD,"BABYFOOD,JUC,APPL&PEACH",2.06
BABYFOOD,"BABYFOOD,APPLE-CRANBERRY JUC",0.24
BABYFOOD,"BABYFOOD,JUC,APPL&PLUM",3.31
BABYFOOD,"BABYFOOD,JUC,APPL&PRUNE",2.28
BABYFOOD,"BABYFOOD,JUICE,ORANGE",1.21
BABYFOOD,"BABYFOOD,JUC,ORANGE&APPL",3.83
BABYFOOD,"BABYFOOD,JUC,ORANGE&APPL&BANANA",2.68
BABYFOOD,"BABYFOOD,JUC,ORANGE&APRICOT",4.01
BABYFOOD,"BABYFOOD,JUC,ORANGE&BANANA",3.58
BABYFOOD,"BABYFOOD,JUC,ORANGE&PNAPPL",2.72
BABYFOOD,"BABYFOOD,JUC,PRUNE&ORANGE",0.96
BABYFOOD,"BABYFOOD,JUC,MXD FRUIT",3.96
BABYFOOD,"BABYFOOD,CRL,BARLEY,DRY",2.19
BABYFOOD,"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",1.88
BABYFOOD,"BABYFOOD,CEREAL,MIXED,DRY",4.24
BABYFOOD,"BABYFOOD,CRL,MXD,W/BANANAS,DRY",1.21
BABYFOOD,"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",0.96
BABYFOOD,"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR",3.04
BABYFOOD,"BABYFOOD,CRL,OATMEAL,DRY",1.81
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY",2.04
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR",1.35
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",1.59
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",1.24
BABYFOOD,"BABYFOOD,CEREAL,RICE,DRY",0.5
BABYFOOD,"BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR",3.89
BABYFOOD,"BABYFOOD,CRL,W/EGG YOLKS,STR",2.13
BABYFOOD,"BABYFOOD,CRL,W/EGG YOLKS,JR",3.69
BABYFOOD,"BABYFOOD,CRL,W/EGGS,STR",4.42
BABYFOOD,"BABYFOOD,CRL,EGG YOLKS&BACON,JR",3.01
BABYFOOD,"BABYFOOD,OATMEAL CRL W/FRUIT,DRY,INST,TODD",2.54
BABYFOOD,"BABYFOOD,COOKIE,BABY,FRUIT",1.02
BABYFOOD,"BABYFOOD,CRACKERS,VEG",4.58
BABYFOOD,"BABYFOOD,CRL,RICE,W/MXD FRUIT,JR",0.44
BABYFOOD,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",4.58
BABYFOOD,"BABYFOOD,CRL,RICE,W/BANANAS,DRY",3.54
BABYFOOD,"BABYFOOD,COOKIES",2.97
BABYFOOD,"BABYFOOD,COOKIES,ARROWROOT",4.3
BABYFOOD,"BABYFOOD,PRETZELS",3.22
BABYFOOD,"BABYFOOD,TEETHING BISCUITS",4.07
No Category,ZWIEBACK,0.83
BABYFOOD,"BABYFOOD,DSSRT,DUTCH APPL,STR",3.19
BABYFOOD,"BABYFOOD,DSSRT,DUTCH APPL,JR",3.81
BABYFOOD,"BABYFOOD,CHERRY COBBLER,JR",2.48
